type,properties.Name,properties.description,properties.altitudeMode,properties.WEBSITE,properties.CITY,properties.ZIP,properties.SCHOOLNAME,properties.TEA,properties.LEVEL,properties.PHONE,properties.SLN,properties.FID,properties.ADDRESS,properties.Field_1,geometry.type,Longtitude,Latitude,lat_long
Feature,Obama Male Leadership Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/obama"">http://www.dallasisd.org/obama</a>",Dallas,75241,Obama Male Leadership Academy,381,Magnet,9727492100,381,225,3030 Stag Rd.,Obama Male Leadership Academy,Point,-96.76490167,32.6918624,"32.6918624,-96.76490167"
Feature,Judge Barefoot Sanders Magnet Center for Public Service,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lawmagnet"">http://www.dallasisd.org/lawmagnet</a>",Dallas,75203,Judge Barefoot Sanders Magnet Center for Public Service,38,Magnet,9729255900,38,230,1201 E. Eighth St.,Judge Barefoot Sanders Magnet Center for Public Service,Point,-96.80717839,32.75256366,"32.75256366,-96.80717839"
Feature,Johnson Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/"">http://www.dallasisd.org/</a>",Wilmer,75172,Johnson Elementary School,312,Elementary,9729253700,312,240,201 S. Goode Rd.,Johnson Elementary School,Point,-96.67648618,32.5907893,"32.5907893,-96.67648618"
Feature,Quintanilla Sr. Middle School STEAM Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/quintanilla"">http://www.dallasisd.org/quintanilla</a>",Dallas,75211,Quintanilla Sr. Middle School STEAM Academy,68,Middle,9725023200,68,10,2700 Remond Dr.,Quintanilla Sr. Middle School STEAM Academy,Point,-96.8656739,32.76197572,"32.76197572,-96.8656739"
Feature,Stockard Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/stockard"">http://www.dallasisd.org/stockard</a>",Dallas,75211,Stockard Middle School,59,Middle,9727945700,59,11,2300 S. Ravinia Dr.,Stockard Middle School,Point,-96.86731603,32.7228061,"32.7228061,-96.86731603"
Feature,Gaston Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/gaston"">http://www.dallasisd.org/gaston</a>",Dallas,75228,Gaston Middle School,48,Middle,9725025400,48,12,9565 Mercer Dr.,Gaston Middle School,Point,-96.69409307,32.82477446,"32.82477446,-96.69409307"
Feature,Hill Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hill"">http://www.dallasisd.org/hill</a>",Dallas,75218,Hill Middle School,50,Middle,9725025700,50,13,505 Easton Rd.,Hill Middle School,Point,-96.70415243,32.85545188,"32.85545188,-96.70415243"
Feature,Zumwalt Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/zumwalt"">http://www.dallasisd.org/zumwalt</a>",Dallas,75216,Zumwalt Middle School,72,Middle,9727493600,72,14,2445 E. Ledbetter Dr.,Zumwalt Middle School,Point,-96.7825569,32.6913162,"32.6913162,-96.7825569"
Feature,Browne Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/browne"">http://www.dallasisd.org/browne</a>",Dallas,75233,Browne Middle School,43,Middle,9725052500,43,15,3333 Sprague Dr.,Browne Middle School,Point,-96.87629263,32.69682384,"32.69682384,-96.87629263"
Feature,Holmes Jr. Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/zwholmes"">http://www.dallasisd.org/zwholmes</a>",Dallas,75233,Holmes Jr. Middle School,100,Middle,2149327800,100,16,2939 St. Rita Dr.,Holmes Jr. Middle School,Point,-96.86849139,32.71095485,"32.71095485,-96.86849139"
Feature,Highland Meadows Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hmeadows"">http://www.dallasisd.org/hmeadows</a>",Dallas,75238,Highland Meadows Elementary School,284,Elementary,9725025200,284,17,8939 Whitewing Lane,Highland Meadows Elementary School,Point,-96.68786244,32.87059266,"32.87059266,-96.68786244"
Feature,Frank Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/frank"">http://www.dallasisd.org/frank</a>",Dallas,75254,Frank Elementary School,280,Elementary,9725025900,280,18,5201 Celestial Rd.,Frank Elementary School,Point,-96.8179158,32.94776428,"32.94776428,-96.8179158"
Feature,Kramer Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kramer"">http://www.dallasisd.org/kramer</a>",Dallas,75230,Kramer Elementary School,169,Elementary,9727948300,169,19,7131 Midbury Dr.,Kramer Elementary School,Point,-96.78328248,32.90222372,"32.90222372,-96.78328248"
Feature,Kleberg Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kleberg"">http://www.dallasisd.org/kleberg</a>",Dallas,75253,Kleberg Elementary School,167,Elementary,9727496500,167,20,1450 Edd Rd.,Kleberg Elementary School,Point,-96.60049983,32.68434966,"32.68434966,-96.60049983"
Feature,Moseley Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/moseley"">http://www.dallasisd.org/moseley</a>",Dallas,75217,Moseley Elementary School,187,Elementary,9727496700,187,21,10400 Rylie Rd.,Moseley Elementary School,Point,-96.64235478,32.68936181,"32.68936181,-96.64235478"
Feature,Halliday Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/ebbyhalliday"">http://www.dallasisd.org/ebbyhalliday</a>",Dallas,75217,Halliday Elementary School,305,Elementary,9729251800,305,22,10210 Teagarden Rd.,Halliday Elementary School,Point,-96.64701077,32.67269981,"32.67269981,-96.64701077"
Feature,Ervin Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/ervin"">http://www.dallasisd.org/ervin</a>",Dallas,75241,Ervin Elementary School,142,Elementary,9727493700,142,23,3722 Black Oak Dr.,Ervin Elementary School,Point,-96.76223305,32.67964685,"32.67964685,-96.76223305"
Feature,Wilmer-Hutchins Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/wilmerhutchinses"">http://www.dallasisd.org/wilmerhutchinses</a>",Dallas,75241,Wilmer-Hutchins Elementary School,301,Elementary,9729252600,301,24,7475 J.J. Lemmon Rd.,Wilmer-Hutchins Elementary School,Point,-96.72770278,32.65419448,"32.65419448,-96.72770278"
Feature,Alexander Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/alexander"">http://www.dallasisd.org/alexander</a>",Dallas,75232,Alexander Elementary School,235,Elementary,9727493100,235,25,1830 Goldwood Dr.,Alexander Elementary School,Point,-96.84765097,32.656015,"32.656015,-96.84765097"
Feature,U. Lee Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/ulee"">http://www.dallasisd.org/ulee</a>",Dallas,75232,U. Lee Elementary School,175,Elementary,9727493900,175,26,7808 Racine Dr.,U. Lee Elementary School,Point,-96.83547409,32.65277807,"32.65277807,-96.83547409"
Feature,McNair Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/mcnair"">http://www.dallasisd.org/mcnair</a>",Dallas,75237,McNair Elementary School,264,Elementary,9727946200,264,27,3150 Bainbridge Ave.,McNair Elementary School,Point,-96.86327832,32.65618513,"32.65618513,-96.86327832"
Feature,Weiss Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/weiss"">http://www.dallasisd.org/weiss</a>",Dallas,75232,Weiss Elementary School,226,Elementary,9727494000,226,28,8601 Willoughby Blvd.,Weiss Elementary School,Point,-96.83047692,32.6438337,"32.6438337,-96.83047692"
Feature,Blair Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/blair"">http://www.dallasisd.org/blair</a>",Dallas,75217,Blair Elementary School,109,Elementary,9727941600,109,29,7720 Gayglen Dr.,Blair Elementary School,Point,-96.68872845,32.70875522,"32.70875522,-96.68872845"
Feature,Burleson Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/burleson"">http://www.dallasisd.org/burleson</a>",Dallas,75217,Burleson Elementary School,117,Elementary,9727494500,117,30,6300 Elam Rd.,Burleson Elementary School,Point,-96.71318039,32.71872913,"32.71872913,-96.71318039"
Feature,Douglass Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/douglas"">http://www.dallasisd.org/douglas</a>",Dallas,75217,Douglass Elementary School,266,Elementary,9727941400,266,31,226 N. Jim Miller Rd.,Douglass Elementary School,Point,-96.69750763,32.71561273,"32.71561273,-96.69750763"
Feature,Bayles Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/bayles"">http://www.dallasisd.org/bayles</a>",Dallas,75228,Bayles Elementary School,108,Elementary,9727498900,108,32,2444 Telegraph Ave.,Bayles Elementary School,Point,-96.70606088,32.80107485,"32.80107485,-96.70606088"
Feature,Conner Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/conner"">http://www.dallasisd.org/conner</a>",Dallas,75228,Conner Elementary School,129,Elementary,9727498200,129,33,3037 Greenmeadow Dr.,Conner Elementary School,Point,-96.69475848,32.80824868,"32.80824868,-96.69475848"
Feature,Truett Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/truett"">http://www.dallasisd.org/truett</a>",Dallas,75228,Truett Elementary School,218,Elementary,9727498000,218,34,1811 Gross Rd.,Truett Elementary School,Point,-96.68349852,32.81643487,"32.81643487,-96.68349852"
Feature,Titche Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/titche"">http://www.dallasisd.org/titche</a>",Dallas,75227,Titche Elementary School,216,Elementary,9727942100,216,35,9560 Highfield Dr.,Titche Elementary School,Point,-96.65856452,32.75476819,"32.75476819,-96.65856452"
Feature,Dunbar Learning Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/dunbar"">http://www.dallasisd.org/dunbar</a>",Dallas,75210,Dunbar Learning Center,139,Elementary,9727946600,139,36,4200 Metropolitan Ave.,Dunbar Learning Center,Point,-96.74920872,32.774833,"32.774833,-96.74920872"
Feature,Guzick Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/guzick"">http://www.dallasisd.org/guzick</a>",Dallas,75227,Guzick Elementary School,240,Elementary,9725023900,240,37,5000 Berridge Ln,Guzick Elementary School,Point,-96.69274288,32.78473138,"32.78473138,-96.69274288"
Feature,King Jr. Arts Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/mlk"">http://www.dallasisd.org/mlk</a>",Dallas,75215,King Jr. Arts Academy,128,Choice,9725028100,128,38,1817 Warren Ave.,King Jr. Arts Academy,Point,-96.77350468,32.76101144,"32.76101144,-96.77350468"
Feature,Rhoads Learning Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rhoads"">http://www.dallasisd.org/rhoads</a>",Dallas,75210,Rhoads Learning Center,200,Elementary,9727491000,200,39,4401 Second Ave.,Rhoads Learning Center,Point,-96.74873525,32.76342664,"32.76342664,-96.74873525"
Feature,Rice Learning Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rice"">http://www.dallasisd.org/rice</a>",Dallas,75215,Rice Learning Center,201,Elementary,9727491100,201,40,2425 Pine St.,Rice Learning Center,Point,-96.76213262,32.7564951,"32.7564951,-96.76213262"
Feature,Rowe Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rowe"">http://www.dallasisd.org/rowe</a>",Dallas,75227,Rowe Elementary School,232,Elementary,9727498000,232,41,4918 Hovenkamp Dr.,Rowe Elementary School,Point,-96.70674368,32.78544253,"32.78544253,-96.70674368"
Feature,Silberstein Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/silberstein"">http://www.dallasisd.org/silberstein</a>",Dallas,75227,Silberstein Elementary School,209,Elementary,9727941900,209,42,5940 Hollis Ave.,Silberstein Elementary School,Point,-96.72053575,32.76721045,"32.76721045,-96.72053575"
Feature,Tatum Jr. Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/tatum"">http://www.dallasisd.org/tatum</a>",Dallas,75227,Tatum Jr. Elementary School,155,Elementary,9725022000,155,43,3002 N. St. Augustine Rd.,Tatum Jr. Elementary School,Point,-96.65554382,32.76337874,"32.76337874,-96.65554382"
Feature,Callejo Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/callejo"">http://www.dallasisd.org/callejo</a>",Dallas,75227,Callejo Elementary School,247,Elementary,9728925700,247,44,7817 Military Pkwy,Callejo Elementary School,Point,-96.6866761,32.77140328,"32.77140328,-96.6866761"
Feature,Geneva Heights Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/genevaheights"">http://www.dallasisd.org/genevaheights</a>",Dallas,75206,Geneva Heights Elementary School,174,Elementary,9727497400,174,46,2911 Delmar Ave.,Geneva Heights Elementary School,Point,-96.76637297,32.82416713,"32.82416713,-96.76637297"
Feature,Lipscomb Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lipscomb"">http://www.dallasisd.org/lipscomb</a>",Dallas,75214,Lipscomb Elementary School,177,Elementary,9727947300,177,47,5801 Worth St.,Lipscomb Elementary School,Point,-96.75702983,32.80716747,"32.80716747,-96.75702983"
Feature,Milam Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/milam"">http://www.dallasisd.org/milam</a>",Dallas,75205,Milam Elementary School,184,Elementary,9727495600,184,48,4200 McKinney Ave.,Milam Elementary School,Point,-96.79015757,32.81638188,"32.81638188,-96.79015757"
Feature,Rogers Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rogers"">http://www.dallasisd.org/rogers</a>",Dallas,75214,Rogers Elementary School,203,Elementary,9727948800,203,49,5314 Abrams Rd.,Rogers Elementary School,Point,-96.75170468,32.85205831,"32.85205831,-96.75170468"
Feature,Chavez Learning Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/chavez"">http://www.dallasisd.org/chavez</a>",Dallas,75204,Chavez Learning Center,281,Elementary,9729251000,281,51,1710 N. Carroll,Chavez Learning Center,Point,-96.78057192,32.8037299,"32.8037299,-96.78057192"
Feature,Foster Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/foster"">http://www.dallasisd.org/foster</a>",Dallas,75220,Foster Elementary School,145,Elementary,9727948100,145,52,3700 Clover Lane,Foster Elementary School,Point,-96.8537727,32.86997559,"32.86997559,-96.8537727"
Feature,Montessori Academy at Hernandez Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hernandez"">http://www.dallasisd.org/hernandez</a>",Dallas,75235,Montessori Academy at Hernandez Elementary School,385,Magnet,9729252700,385,53,5555 Maple Ave.,Montessori Academy at Hernandez Elementary School,Point,-96.8364242,32.8196756,"32.8196756,-96.8364242"
Feature,Personalized Learning Preparatory School at Sam Houston ES,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/houston"">http://www.dallasisd.org/houston</a>",Dallas,75219,Personalized Learning Preparatory School at Sam Houston ES,160,Choice,9727495800,160,54,2827 Throckmorton,Personalized Learning Preparatory School at Sam Houston ES,Point,-96.81335547,32.81013877,"32.81013877,-96.81335547"
Feature,Knight Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/knight"">http://www.dallasisd.org/knight</a>",Dallas,75235,Knight Elementary School,168,Elementary,9727495300,168,56,2615 Anson Rd.,Knight Elementary School,Point,-96.85182545,32.83687036,"32.83687036,-96.85182545"
Feature,Maple Lawn Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/maplelawn"">http://www.dallasisd.org/maplelawn</a>",Dallas,75235,Maple Lawn Elementary School,181,Elementary,9729252500,181,57,3120 Inwood Rd.,Maple Lawn Elementary School,Point,-96.82986457,32.82589002,"32.82589002,-96.82986457"
Feature,Medrano Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hopemedrano"">http://www.dallasisd.org/hopemedrano</a>",Dallas,75219,Medrano Elementary School,283,Elementary,9727943300,283,58,2221 Lucas Dr.,Medrano Elementary School,Point,-96.8271443,32.80863859,"32.80863859,-96.8271443"
Feature,Mount Auburn STEAM Academy Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/mountauburn"">http://www.dallasisd.org/mountauburn</a>",Dallas,75223,Mount Auburn STEAM Academy Elementary School,188,Elementary,9727498500,188,59,6012 E. Grand Ave.,Mount Auburn STEAM Academy Elementary School,Point,-96.74403453,32.79583616,"32.79583616,-96.74403453"
Feature,Roberts Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/oranroberts"">http://www.dallasisd.org/oranroberts</a>",Dallas,75223,Roberts Elementary School,202,Elementary,9727498700,202,60,4919 E. Grand Ave.,Roberts Elementary School,Point,-96.75421815,32.78850144,"32.78850144,-96.75421815"
Feature,Zaragoza Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/zaragoza"">http://www.dallasisd.org/zaragoza</a>",Dallas,75246,Zaragoza Elementary School,131,Elementary,9727498600,131,61,4550 Worth St.,Zaragoza Elementary School,Point,-96.77087369,32.79515998,"32.79515998,-96.77087369"
Feature,Carr Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/carr"">http://www.dallasisd.org/carr</a>",Dallas,75212,Carr Elementary School,122,Elementary,9727944300,122,62,1952 Bayside St.,Carr Elementary School,Point,-96.85274412,32.78788143,"32.78788143,-96.85274412"
Feature,De Zavala Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/dezavala"">http://www.dallasisd.org/dezavala</a>",Dallas,75212,De Zavala Elementary School,260,Elementary,9728926400,260,63,3214 N. Winnetka Ave.,De Zavala Elementary School,Point,-96.8390579,32.78110876,"32.78110876,-96.8390579"
Feature,Arcadia Park Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/arcadiapark"">http://www.dallasisd.org/arcadiapark</a>",Dallas,75211,Arcadia Park Elementary School,105,Elementary,9725025300,105,64,1300 N. Justin Ave.,Arcadia Park Elementary School,Point,-96.9105375,32.75940367,"32.75940367,-96.9105375"
Feature,Allen Charter School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/allen"">http://www.dallasisd.org/allen</a>",Dallas,75212,Allen Charter School,103,Elementary,9727945100,103,65,5220 Nomas St.,Allen Charter School,Point,-96.90756694,32.78151871,"32.78151871,-96.90756694"
Feature,Burnet Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/burnet"">http://www.dallasisd.org/burnet</a>",Dallas,75220,Burnet Elementary School,116,Elementary,9727943000,116,66,3200 Kinkaid Dr.,Burnet Elementary School,Point,-96.86842524,32.87645354,"32.87645354,-96.86842524"
Feature,Cigarroa Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/cigarroa"">http://www.dallasisd.org/cigarroa</a>",Dallas,75220,Cigarroa Elementary School,278,Elementary,9725022900,278,67,9990 Webb Chapel Rd,Cigarroa Elementary School,Point,-96.86475634,32.88003189,"32.88003189,-96.86475634"
Feature,Dallas Environmental Science Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/desa"">http://www.dallasisd.org/desa</a>",Dallas,75212,Dallas Environmental Science Academy,71,Magnet,9727943950,71,68,3531 N. Westmoreland Rd.,Dallas Environmental Science Academy,Point,-96.87538946,32.78505101,"32.78505101,-96.87538946"
Feature,Martinez Learning Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/martinez"">http://www.dallasisd.org/martinez</a>",Dallas,75212,Martinez Learning Center,265,Elementary,9727946900,265,69,4500 Bernal Dr.,Martinez Learning Center,Point,-96.89370246,32.78678645,"32.78678645,-96.89370246"
Feature,Saldivar Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/saldivar"">http://www.dallasisd.org/saldivar</a>",Dallas,75220,Saldivar Elementary School,271,Elementary,9727942000,271,70,9510 Brockbank Dr.,Saldivar Elementary School,Point,-96.87281893,32.86477443,"32.86477443,-96.87281893"
Feature,Moreno STEAM Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/moreno"">http://www.dallasisd.org/moreno</a>",Dallas,75224,Moreno STEAM Academy,272,Elementary,9725023100,272,71,2115 S. Hampton Rd.,Moreno STEAM Academy,Point,-96.8581128,32.72397038,"32.72397038,-96.8581128"
Feature,Botello Personalized Learning Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/botello"">http://www.dallasisd.org/botello</a>",Dallas,75203,Botello Personalized Learning Academy,289,Elementary,2149325179,289,72,225 S. Marsalis Ave.,Botello Personalized Learning Academy,Point,-96.81641729,32.74563361,"32.74563361,-96.81641729"
Feature,Bowie Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/bowie"">http://www.dallasisd.org/bowie</a>",Dallas,75203,Bowie Elementary School,112,Elementary,9729256600,112,73,330 N. Marsalis Ave.,Bowie Elementary School,Point,-96.81486346,32.75236397,"32.75236397,-96.81486346"
Feature,Cowart Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/cowart"">http://www.dallasisd.org/cowart</a>",Dallas,75211,Cowart Elementary School,130,Elementary,9727945500,130,74,1515 S. Ravinia,Cowart Elementary School,Point,-96.8699327,32.72801025,"32.72801025,-96.8699327"
Feature,Donald Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/donald"">http://www.dallasisd.org/donald</a>",Dallas,75211,Donald Elementary School,136,Elementary,9727945300,136,75,1218 Phinney Ave.,Donald Elementary School,Point,-96.88708005,32.73252234,"32.73252234,-96.88708005"
Feature,Hall Personalized Learning Academy at Oak Cliff,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hall"">http://www.dallasisd.org/hall</a>",Dallas,75211,Hall Personalized Learning Academy at Oak Cliff,149,Elementary,9727945400,149,76,2120 Keats Dr.,Hall Personalized Learning Academy at Oak Cliff,Point,-96.88126058,32.72174118,"32.72174118,-96.88126058"
Feature,Henderson Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/henderson"">http://www.dallasisd.org/henderson</a>",Dallas,75224,Henderson Elementary School,152,Elementary,9727492900,152,77,2200 S. Edgefield St.,Henderson Elementary School,Point,-96.84391772,32.7239742,"32.7239742,-96.84391772"
Feature,Hogg New Tech Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hogg"">http://www.dallasisd.org/hogg</a>",Dallas,75208,Hogg New Tech Center,157,Elementary,9725028600,157,78,1144 N. Madison Ave.,Hogg New Tech Center,Point,-96.82508208,32.75687959,"32.75687959,-96.82508208"
Feature,Hooe Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hooe"">http://www.dallasisd.org/hooe</a>",Dallas,75211,Hooe Elementary School,158,Elementary,9727946700,158,79,2419 Gladstone Dr.,Hooe Elementary School,Point,-96.85745756,32.74075466,"32.74075466,-96.85745756"
Feature,Kahn Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kahn"">http://www.dallasisd.org/kahn</a>",Dallas,75211,Kahn Elementary School,275,Elementary,9725021400,275,80,610 N. Franklin St.,Kahn Elementary School,Point,-96.85984939,32.75128466,"32.75128466,-96.85984939"
Feature,Peabody Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/peabody"">http://www.dallasisd.org/peabody</a>",Dallas,75211,Peabody Elementary School,190,Elementary,9727945200,190,81,3101 Raydell Place,Peabody Elementary School,Point,-96.8729504,32.74286053,"32.74286053,-96.8729504"
